Program	Topic	Episode	Irish	Meaning	s/p	Literal	Phonetic
Giota Beag - Series 3	11	11	An dtéann tú chuig an phictiúrlann go minic?	Do you go to the cinema often?			
Giota Beag - Series 3	11	11	An dtéann tú chuig cluiche peile go minic?	Do you go to a football match often?			
Giota Beag - Series 3	11	11	An dtéann tú ag snámh go minic?	Do you go swimming often?			
Giota Beag - Series 3	11	11	An dtéann tú go Béal Feirste go minic?	Do you go to Belfast often?			
Giota Beag - Series 3	11	11	An bhfuil airgead agat?	Do you have money?			
Giota Beag - Series 3	11	11	An ndéanann tú Yoga?	Do you do Yoga?			
Giota Beag - Series 3	11	11	An ndíolann tú as na ranganna?	Do you pay for the classes?			
Giota Beag - Series 3	11	11	An ndéanann tú an dinnéar go minic?	Do you make the dinner often?			
Giota Beag - Series 3	12	12	Creidim.	I believe.			
Giota Beag - Series 3	12	12	Creideann tú.	You believe.			
Giota Beag - Series 3	12	12	An gcreideann tú?	Do you believe?			
Giota Beag - Series 3	12	12	Ceannaím.	I buy.			
Giota Beag - Series 3	12	12	Ceannaíonn tú.	You buy.			
Giota Beag - Series 3	12	12	An gceannaíonn tú?	Do you buy?			
Giota Beag - Series 3	12	12	Bím.	I be.			
Giota Beag - Series 3	12	12	Bíonn tú.	You be.			
Giota Beag - Series 3	12	12	An mbíonn tú? - Do you be?				
Giota Beag - Series 3	12	12	An mbíonn tú ag obair gach Aoine?	Do you work every Friday?			
Giota Beag - Series 3	12	12	An mbíonn tú ag obair gach Satharn?	Do you work every Saturday?			
Giota Beag - Series 3	12	12	ar an Luan	on Mondays			
Giota Beag - Series 3	12	12	ach an Satharn agus an Domhnach	except Saturday and Sunday			
Giota Beag - Series 3	12	12	ag deireadh na seachtaine	at the weekend			
Giota Beag - Series 3	12	12	trí lá gach seachtain	three days every week			
Giota Beag - Series 3	12	12	An nglanann tú an carr gach Aoine?	Do you clean the car every Friday?			
Giota Beag - Series 3	12	12	Glanaim.	I clean.			
Giota Beag - Series 3	12	12	Ní glanaim.	I don’t clean.			
Giota Beag - Series 3	12	12	Glanann tú.	You clean.			
Giota Beag - Series 3	12	12	anois agus arís	now and again			
Giota Beag - Series 3	12	12	na fuinneoga	the windows			
Giota Beag - Series 3	12	12	uair sa mhí	once a month			
Giota Beag - Series 3	12	12	cleachtadh	practice			
Giota Beag - Series 3	12	12	máistreacht	a mastery, perfection			
Giota Beag - Series 3	12	12	Cleachtadh a dhéanann máistreacht.	Practise makes perfect.			
Giota Beag - Series 3	12	12	ár scoil	our school			
Giota Beag - Series 3	12	12	bhur lón	your (pl.) lunch			
Giota Beag - Series 3	12	12	a milseáin	their sweets			
Giota Beag - Series 3	12	12	ár bplátaí	our plates			
Giota Beag - Series 3	12	12	bhur bplátaí	your plates			
Giota Beag - Series 3	12	12	a bplátaí	their plates			
Giota Beag - Series 3	13	13	Glan an tábla.	Clean the table			
Giota Beag - Series 3	13	13	Tá sé glanta.	It’s cleaned.			
Giota Beag - Series 3	13	13	Déan an lón.	Make the lunch.			
Giota Beag - Series 3	13	13	Tá sé déanta.	It’s made.			
Giota Beag - Series 3	13	13	Líon isteach an fhoirm sin.	Fill in that form.			
Giota Beag - Series 3	13	13	Tá sé líonta.	It’s filled in.			
Giota Beag - Series 3	13	13	druid	close			
Giota Beag - Series 3	13	13	druidte	closed			
Giota Beag - Series 3	13	13	oscail	open			
Giota Beag - Series 3	13	13	oscailte	opened			
Giota Beag - Series 3	13	13	léigh	read			
Giota Beag - Series 3	13	13	léite	read			
Giota Beag - Series 3	13	13	caill	lose			
Giota Beag - Series 3	13	13	caillte	lost			
Giota Beag - Series 3	13	13	Tá an siopa sin druidte ach tá an siopa seo go fóill oscailte.	That shop is closed but this shop is still open			
Giota Beag - Series 3	13	13	Close that door please, it’s cold.	It is closed.			
Giota Beag - Series 3	13	13	Oscail an fhuinneog, le do thoil, tá sé iontach te.	Tá sé oscailte.			
Giota Beag - Series 3	13	13	Open the window, please, it’s very warm.	It is open.			
Giota Beag - Series 3	13	13	Tá Bran caillte.	Bran is lost.			
Giota Beag - Series 3	13	13	Tá an leabhar leite.	The book is read.			
Giota Beag - Series 3	13	13	Tá an leabhar léite agam.	I have read the book.			
Giota Beag - Series 3	13	13	croí	heart, dear or love			
Giota Beag - Series 3	13	13	a ghrá	love (when speaking to someone)			
Giota Beag - Series 3	13	13	grá geal mo chroí	the bright love of my heart, my sweetheart			
Giota Beag - Series 3	13	13	mo chroí	my love			
Giota Beag - Series 3	13	13	a ruin	loved one			
Giota Beag - Series 3	13	13	rúin mo chroí	love of my heart			
Giota Beag - Series 3	13	13	a thaiscigh	my dear, darling			
Giota Beag - Series 3	13	13	bris	break			
Giota Beag - Series 3	13	13	briste	broken			
Giota Beag - Series 3	13	13	ith	eat			
Giota Beag - Series 3	13	13	ite	eaten			
Giota Beag - Series 3	13	13	nite	washed			
Giota Beag - Series 3	13	13	thart	over, finished			
Giota Beag - Series 3	13	13	grma can be text for go raibh maith agat	thank you			
Giota Beag - Series 3	13	13	eay can be text for oíche mhaith	goodnight			
Giota Beag - Series 3	13	13	sgf can be text for slán go fóill	goodbye for now			
Giota Beag - Series 3	13	13	ldt can be text for le do thoil	please			
Giota Beag - Series 3	13	13	the letter j can be text for cad é	what			
Giota Beag - Series 3	13	13	the letters an followed by the digit 8, ocht in Irish, can stand for anocht, an8 – tonight				
Giota Beag - Series 3	13	13	kwul2 can be cá bhfuil tú?	where are you?			
Giota Beag - Series 3	13	13	gao can be grá agam ort	love you			
Giota Beag - Series 3	14	14	críochnaigh	finish			
Giota Beag - Series 3	14	14	críochnaigh an crosfhocal sin.	finish that crossword.			
Giota Beag - Series 3	14	14	ceannaigh	buy			
Giota Beag - Series 3	14	14	ceannaigh an nuachtán.	buy the newspaper.			
Giota Beag - Series 3	14	14	cóirigh	arrange or dress			
Giota Beag - Series 3	14	14	cóirigh an leaba	make the bed.			
Giota Beag - Series 3	14	14	ceartaigh	correct			
Giota Beag - Series 3	14	14	ceartaithe	corrected			
Giota Beag - Series 3	14	14	sínigh	sign			
Giota Beag - Series 3	14	14	sínithe	signed			
Giota Beag - Series 3	14	14	roghnaigh	choose			
Giota Beag - Series 3	14	14	roghnaithe	chosen			
Giota Beag - Series 3	14	14	deisigh	repair or fix			
Giota Beag - Series 3	14	14	deisithe	repaired			
Giota Beag - Series 3	14	14	Fuair tú scairt ghutháin; tá do ghuthán póca deisithe.	You got a phone call; your mobile phone is fixed.			
Giota Beag - Series 3	14	14	Roghnaigh an dath is fearr leat.	Choose the colour you prefer.			
Giota Beag - Series 3	14	14	Tá sé roghnaithe agam; gorm.	I have chosen it; blue.			
Giota Beag - Series 3	14	14	Sínigh an nóta scoile sin, le do thoil, a chroí.	Sign that school note, please, love.			
Giota Beag - Series 3	14	14	Tá sé sínithe agam.	I have it signed.			
Giota Beag - Series 3	14	14	Ceartaigh an obair bhaile sin le do thoil.	Correct that homework please.			
Giota Beag - Series 3	14	14	Tá an obair bhaile sin ceartaithe agam.	I have that homework corrected.			
Giota Beag - Series 3	14	14	faoiseamh	relief			
Giota Beag - Series 3	14	14	seal beag gairid	a short little while			
Giota Beag - Series 3	14	14	i measc mo dhaoine	among my people			
Giota Beag - Series 3	14	14	ar oileán mara	on a sea island			
Giota Beag - Series 3	14	14	ag siúl cois cladaigh	walking by the shore			
Giota Beag - Series 3	14	14	maidin is tráthnóna	morning and evening			
Giota Beag - Series 3	14	14	ó Luan go Satharn	from Monday to Saturday			
Giota Beag - Series 3	14	14	thiar ag baile	back at home, in the west			
Giota Beag - Series 3	14	14	ó chrá croí	from heart ache			
Giota Beag - Series 3	14	14	ó bhuairt aigne	from anxiety and work			
Giota Beag - Series 3	14	14	ó uaigneas duairc	from dark loneliness			
Giota Beag - Series 3	14	14	ó chaint ghontach	from hurtful talk			
Giota Beag - Series 3	14	14	An bhfuil an leabhar sin léite agat?	Have you read that book?			
Giota Beag - Series 3	14	14	Tá an leabhar sin léite aige.	He has read that book.			
Giota Beag - Series 3	14	14	Tá an leabhar sin léite aici.	She has read that book.			
Giota Beag - Series 3	14	14	Tá an leabhar sin léite againn	We have read that book.			
Giota Beag - Series 3	14	14	Tá an leabhar sin léite agaibh	You (pl) have read that book.			
Giota Beag - Series 3	14	14	Tá an leabhar sin léite acu	They have read that book.			
Giota Beag - Series 3	14	14	Och och mo mhadadh beag	Aw, my wee dog			
Giota Beag - Series 3	14	14	tá piachán i mo sceadamán	I am hoarse			
Giota Beag - Series 3	14	14	ag scairtigh ar mo mhadadh beag.	calling my wee dog.			
Giota Beag - Series 3	14	14	Luím ar mo leabaidh	I lie in my bed			
Giota Beag - Series 3	14	14	‘gus ní chodlaím aon néal go maidin	and I don’t sleep a wink			
Giota Beag - Series 3	14	14	ach ag meabhrú ar mo mhadadh beag	thinking of my wee dog			
Giota Beag - Series 3	14	14	a d’imigh uaim sa scarthanaigh.	who left me at daybreak.			
Giota Beag - Series 3	15	15	Bain sult as an lá.	Enjoy the day.			
Giota Beag - Series 3	15	15	Bainfidh mé sult as an lá.	I will enjoy the day. Bainfidh mé sult as an lá.			
Giota Beag - Series 3	15	15	Ól gloine uisce	Drink a glass of water.			
Giota Beag - Series 3	15	15	Ólfaidh mé gloine uisce.	I will drink a glass of water.			
Giota Beag - Series 3	15	15	Siúil go dtí an siopa.	Walk to the shop.			
Giota Beag - Series 3	15	15	Siúlfaidh mé go dtí an siopa.	I will walk to the shop.			
Giota Beag - Series 3	15	15	Suigh síos.	Sit down.			
Giota Beag - Series 3	15	15	Suífidh mé síos.	I will sit down.			
Giota Beag - Series 3	15	15	Léigh an nuachtán.	Read the newspaper.			
Giota Beag - Series 3	15	15	Léifidh mé an nuachtán.	I will read the newspaper.			
Giota Beag - Series 3	15	15	Amharc ar an teilifís.	Watch the television.			
Giota Beag - Series 3	15	15	Amharcfaidh mé ar an teilifís.	I will watch the television.			
Giota Beag - Series 3	15	15	Éist le Giota Níos Mó	Listen to Giota Níos Mó.			
Giota Beag - Series 3	15	15	Éistfidh mé le GNM gach lá.	I will listen to Giota Níos Mó every day.			
Giota Beag - Series 3	15	15	an carr s’agam	my car			
Giota Beag - Series 3	15	15	an carr s’agat	your car			
Giota Beag - Series 3	15	15	an carr s’aige	his car			
Giota Beag - Series 3	15	15	an carr s’aici	her car			
Giota Beag - Series 3	15	15	an carr s’againn	our car			
Giota Beag - Series 3	15	15	an carr s’agaibh	your (pl.) car			
Giota Beag - Series 3	15	15	an carr s’acu	their car			
Giota Beag - Series 3	15	15	Chífidh mé.	I will see.			
Giota Beag - Series 3	15	15	Chífidh mé thú.	I will see you.			
Giota Beag - Series 3	15	15	Déanfaidh mé.	I will do.			
Giota Beag - Series 3	15	15	Déanfaidh mé sin amárach.	I will do that tomorrow.			
Giota Beag - Series 3	15	15	Rachaidh mé.	I will go.			
Giota Beag - Series 3	15	15	Rachaidh mé ar ais amárach.	I will go back tomorrow.			
Giota Beag - Series 3	15	15	Scairtfidh mé.	I will call/shout.			
Giota Beag - Series 3	15	15	Scairtfidh mé ort amárach.	I will phone you tomorrow.			
Giota Beag - Series 3	15	15	An rachaidh tú?	Will you go?			
Giota Beag - Series 3	15	15	An rachaidh tú amach anocht?	Will you go out tonight?			
Giota Beag - Series 3	15	15	Ní rachaidh	No, I will not go out.			
Giota Beag - Series 3	15	15	Níl mé cinnte an rachaidh nó nach rachaidh.	I’m not sure if I’ll go or not.			
Giota Beag - Series 3	15	15	Mol an óige is tiocfaidh sí.	Praise the youth and it will come / they will blossom.			
