program	episode	topic	topic2	type	group	irish	meaning	practice_ideas	s_p	m_f	literal_meaning	phonetic	sound	info
NYT	6	ORDERING DRINKS		WORD	WHAT_YOU_WANT	milseáin	sweets							
NYT	6	ORDERING DRINKS		WORD	WHAT_YOU_WANT	úll	apple							
NYT	6	ORDERING DRINKS		WORD	WHAT_YOU_WANT	cuidiú	help					coodjoo		
NYT	6	ORDERING DRINKS		WORD	WHAT_YOU_WANT2	phionta	pint					pinta		
NYT	6	ORDERING DRINKS		QUESTION		Cad é ba mhaith leat?	What would you like?							
NYT	6	ORDERING DRINKS		QUESTION		Cad é ba mhaith leatsa?	What would *you* like?							
NYT	6	ORDERING DRINKS		QUESTION		Cad é ba mhaith libh?	What would you like?		s					
NYT	6	ORDERING DRINKS		QUESTION		Cad é atá de dhíth ort?	What do you want?							You can use the following when addressing a friend or family member:
NYT	6	ORDERING DRINKS		QUESTION		Cad é atá de dhíth oraibh?	What do you want? 		p					You can use the following when addressing a friend or family member:
NYT	6	ORDERING DRINKS		TEMPLATE		Ba mhaith liom $WHAT_YOU_WANT	I'd like $WHAT_YOU_WANT							
NYT	6	ORDERING DRINKS		SENTENCE		Ba mhaith liom ag dul amach	I'd like to go out							
NYT	6	ORDERING DRINKS		TEMPLATE		$WHAT_YOU_WANT domhsa.	$WHAT_YOU_WANT for me.							
NYT	6	ORDERING DRINKS		QUESTION		Rud ar bith eile?	Anything else?					Rud ar bee ella?		
NYT	6	ORDERING DRINKS		PHRASE		... le do thoil.	... please.							
NYT	6	ORDERING DRINKS		SENTENCE		Go raibh maith agat.	Thank you.							
NYT	6	ORDERING DRINKS		SENTENCE		Maith thú.	good on you/well done							
NYT	6	ORDERING DRINKS		SENTENCE		Tá fáilte romhat.	You're welcome.		s					
NYT	6	ORDERING DRINKS		SENTENCE		Tá fáilte romhaibh.	You're welcome.		p					
NYT	6	ORDERING DRINKS		QUESTION		An dtógann tú bainne?	Do you take milk?							
NYT	6	ORDERING DRINKS		QUESTION		An dtógann tú siúcra?	Do you take sugar?							
NYT	6	ORDERING DRINKS		SENTENCE		Tógaim.	I do.							
NYT	6	ORDERING DRINKS		SENTENCE		Ní thógaim.	I don't.							
NYT	6	ORDERING DRINKS		TEMPLATE		Ar mhaith leat $WHAT_YOU_WANT?	Would you like $WHAT_YOU_WANT?		s					
NYT	6	ORDERING DRINKS		TEMPLATE		Ar mhaith libh $WHAT_YOU_WANT?	Would you like $WHAT_YOU_WANT?		p					
NYT	6	ORDERING DRINKS		SENTENCE		Ba mhaith.	Yes (I would).							
NYT	6	ORDERING DRINKS		SENTENCE		Níor mhaith.	No (I wouldn't).							
NYT	6	ORDERING DRINKS		SENTENCE		B'fhearr ...	I'd prefer ...					bear...		
NYT	6	ORDERING DRINKS		SENTENCE		B'fhearr liom $WHAT_YOU_WANT	I'd prefer $WHAT_YOU_WANT					Bear liom glinye ish-ke		
NYT	6	ORDERING DRINKS		SENTENCE		Sláinte!	Cheers!				Health!			
NYT	6	ORDERING DRINKS		SENTENCE		Sláinte mhór	Cheers (response??)							
NYT	6	ORDERING DRINKS		SENTENCE		$WHAT_YOU_WANT duitse.	$WHAT_YOU_WANT for you.							
NYT	6	ORDERING DRINKS		SENTENCE		Seo do $WHAT_YOU_WANT2	Here's your $WHAT_YOU_WANT2							
NYT	6	ORDERING DRINKS		SENTENCE		Sláinte mhaith agat i bhfad ó bhrón.	Good health, free from sorrow.							
NYT	6	ORDERING DRINKS		SENTENCE		Sláinte do bheo agus tróicaire do mharbh.	Health to the living and mercy on the dead.							
NYT	6	ORDERING DRINKS		SENTENCE		Go mba fada a mhairfidh tú.	Long life to you							
NYT	6	ORDERING DRINKS		QUESTION		An ólann tú caife?	Do you drink coffee?							
NYT	6	ORDERING DRINKS		SENTENCE		Ólaim.	Yes/I drink							
NYT	6	ORDERING DRINKS		SENTENCE		Ní ólaim	No/I don't drink							
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		AG RÁ CÁ BHFUIL TÚ AG DUL	SAYING WHERE YOU'RE GOING							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	banc	bank							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	teach an phobail	church							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	oifig an phoist	post office							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	caife	cafe					ca-fay		
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	garáiste	garage							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	teach	house							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	tithe	houses							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	teach tábhairne	pub							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	tithe tábhairne	pubs							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	bialann	restaurant							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	páirc	park							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	siopa	shop							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	siopaí	shops							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	siopa búistéara	butcher's shop							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	siopa poitigéara	chemist shop							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	siopa bróg	shoe shop							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	siopa éadaigh	clothes shop							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	ionad spóirt	sports centre							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	ionad siopadóireachta	shopping centre							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	ollmhargadh	supermarket					ollwarragoo		
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	ospidéal	hospital							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	otharlann	hospital							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	pictiúrlann	cinema							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	sólann	leisure centre							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	codladh	sleep					coh-loo		
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	aerfort	airport							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	amharclann	theatre							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	PLACES	gealach	moon					gallack		
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an caife	the café			m				
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an amharclann	the theatre			f				
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an garáiste	the garage			m				
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an teach tábhairne	the pub			m				
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an pháirc	the park			f				
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an phictiúrlann 	the cinema			f				
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an t-sólann 	the leisure centre			f				
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an t-aerfort	the airport			m				
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an t-ionad spóirt	the sports centre							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an t-ionad siopadóireachta	the shopping centre							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an t-ollmhargadh	the supermarket							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an bhialann	the restaurant							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an t-ospidéal	the hospital							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	THE_PLACES	an ghealach	the moon					an yallach		
NYT	7	SAYING WHERE YOU'RE GOING		QUESTION		Cá bhfuil tú ag dul?	Where are you going?		s			Ca will to a-gull		
NYT	7	SAYING WHERE YOU'RE GOING		QUESTION		Cá bhfuil sibh ag dul?	Where are you going?		p			Ca will to a-gull		
NYT	7	SAYING WHERE YOU'RE GOING		QUESTION		Cá bhfuil tusa ag dul?	Where are *you* going?		s					
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Tá mé ag dul ...	I'm going ...					Taw may a gul		
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Tá mé ag dul go ...	I'm going to ...							
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Tá mé ag dul go Leitir Ceanainn.	I'm going to Letterkenny.							
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Tá mé ag dul go dtí $THE_PLACES.	I'm going to $THE_PLACES.							
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Tá mé ag dul go hoifig an phoist.	I am going to the post office							
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Tá mé ag dul go teach an phobail.	I am going to the church							
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Tá mé ag dul abhaile.	I'm going home.							
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Tá mé ag dul amach.	I'm going out.							
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		tá mé ag dul a chodladh	I am going to sleep					...hoh-loo		
NYT	7	SAYING WHERE YOU'RE GOING		WORD		ansin	then							as in I'm going to ... and then I'm going to...
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Go Baile Átha Cliath	To Dublin							
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Go hArd Mhacha*	To Armagh							
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Go Dún Pádraig	To Downpatrick							
NYT	7	SAYING WHERE YOU'RE GOING		QUESTION		Cad é an t-am?	What time?							
NYT	7	SAYING WHERE YOU'RE GOING		QUESTION		Cad é an t-am atá tú ag dul go Dún Geanainn?	What time are you going to Dungannon?							
NYT	7	SAYING WHERE YOU'RE GOING		QUESTION		Cá huair?	When?					ca hoo-ar		
NYT	7	SAYING WHERE YOU'RE GOING		QUESTION		Cá huair atá tú ag dul go Corcaigh?	When are you going to Cork?							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	ag a dó a chlog	at two o'clock							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	i gceann leathuair an chloig	in half an hour					i gen le-hoor a clig		
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	i gceann uair an chloig	in an hour's time							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	i gceann trí huaire an chlog	in three-and-a-half hours' time							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	i gceann trí huaire go leith	in three-and-a-half hours' time							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	i gceann tamaill	in a while							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	anois	now							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	níos moille	later					nees mullya		
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	anocht	tonight							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	amárach	tomorrow							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	ar maidin	in the morning							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	meán lae	midday							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	san iarnóin	in the afternoon							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	tráthnóna	in the evening							
NYT	7	SAYING WHERE YOU'RE GOING		WORD	GOING_WHEN	san oíche	in the night							
NYT	7	SAYING WHERE YOU'RE GOING		SENTENCE		Tá mé ag dul go Gaillimh...	I'm going to Galway...							
NYT	7	SAYING WHERE YOU'RE GOING		TEMPLATE		Tá mé ag dul $GOING_WHEN	I'm going $GOING_WHEN							
NYT	7	SAYING WHERE YOU'RE GOING		WORD		uair	an hour							This word occurs quite frequently in everyday speech, so it is well worth learning the different forms.
NYT	7	SAYING WHERE YOU'RE GOING		WORD		dhá uair	two hours							The word uair is irregular when preceded by numbers:
NYT	7	SAYING WHERE YOU'RE GOING		WORD		trí huaire	Three hours							
NYT	7	SAYING WHERE YOU'RE GOING		WORD		Ceathair huaire 	four hours							
NYT	7	SAYING WHERE YOU'RE GOING		WORD		Cúig huaire 	five hours							
NYT	7	SAYING WHERE YOU'RE GOING		WORD		Sé huaire 	six hours							
NYT	7	SAYING WHERE YOU'RE GOING		WORD		seacht n-uaire	seven hours							
NYT	7	SAYING WHERE YOU'RE GOING		WORD		hocht n-uaire	eight hours							
NYT	7	SAYING WHERE YOU'RE GOING		WORD		naoi n-uaire	nine hours							
NYT	7	SAYING WHERE YOU'RE GOING		WORD		deich n-uaire	ten hours							
NYT	7	SAYING WHERE YOU'RE GOING		TEMPLATE		Tá sé chóir a bheith $HOUR_O_CLOCK	It's almost $HOUR_O_CLOCK					Taw shay hor a veh $HOUR_O_CLOCK		
NYT	7	SAYING WHERE YOU'RE GOING		TEMPLATE		Tá sé chóir a bheith leath i ndiaidh $HOUR_O_CLOCK	It's almost half past $HOUR_O_CLOCK					Taw shay hor a veh la in nyay $HOUR_O_CLOCK		
NYT	7	SAYING WHERE YOU'RE GOING		TEMPLATE		Tá sé chóir a bheith ceathrú go dtí $HOUR_O_CLOCK	It's almost quarter to $HOUR_O_CLOCK					Taw shay hor a veh cahru go gee $HOUR_O_CLOCK		
NYT	7	SAYING WHERE YOU'RE GOING		TEMPLATE		Tá sé chóir a bheith ceathrú i ndiaidh $HOUR_O_CLOCK	It's almost quarter past $HOUR_O_CLOCK					Taw shay hor a veh cahrun I nyay $HOUR_O_CLOCK		
NYT	7	SAYING WHERE YOU'RE GOING		WORD		scrúdú	exam							"as in ""scrúdú ar maidin"" == ""exam in the morning"""
NYT	8	DISCUSSING JOBS		WORD		AG PLÉ POSTANNA	DISCUSSING JOBS							
NYT	8	DISCUSSING JOBS		WORD		obair	work							
NYT	8	DISCUSSING JOBS		WORD		ag obair	working							
NYT	8	DISCUSSING JOBS		WORD		post	job					paw-st		
NYT	8	DISCUSSING JOBS		WORD		postanna	jobs							
NYT	8	DISCUSSING JOBS		WORD		bunscoil	primary school							
NYT	8	DISCUSSING JOBS		WORD		meánscoil	secondary school							
NYT	8	DISCUSSING JOBS		WORD	JOB	feirmeoir	farmer					fer-mer		
NYT	8	DISCUSSING JOBS		WORD	JOB	siopadóir	shopkeeper							
NYT	8	DISCUSSING JOBS		WORD	JOB	búistéir	butcher							
NYT	8	DISCUSSING JOBS		WORD	JOB	meicneoir	mechanic							
NYT	8	DISCUSSING JOBS		WORD	JOB	múinteoir	teacher							
NYT	8	DISCUSSING JOBS		WORD	JOB	rúnaí	secretary							
NYT	8	DISCUSSING JOBS		WORD	JOB	oibrí monarchan	factory worker					ibri monarchan		
NYT	8	DISCUSSING JOBS		WORD	JOB	banaltra	nurse							
NYT	8	DISCUSSING JOBS		WORD	JOB	dochtúir	doctor					doctoor		
NYT	8	DISCUSSING JOBS		WORD	JOB	tiománaí	driver					tchumani		
NYT	8	DISCUSSING JOBS		WORD	JOB	bainisteoir	manager							
NYT	8	DISCUSSING JOBS		WORD	JOB	freastalaí	waiter							
NYT	8	DISCUSSING JOBS		WORD	JOB	tógálaí	builder							
NYT	8	DISCUSSING JOBS		WORD	JOB	siúinéir	carpenter					shoonair		aonad 9
NYT	8	DISCUSSING JOBS		WORD	JOB	bean tí	housewife							
NYT	8	DISCUSSING JOBS		WORD	JOB	leictreoir	electrician							
NYT	8	DISCUSSING JOBS		WORD	JOB	iascaire	fisherman					eesc-ar-a		
NYT	8	DISCUSSING JOBS		WORD	JOB	innealtóir	engineer					inyaltar		
NYT	8	DISCUSSING JOBS		WORD	JOB	innealtóir ríomhaireachta	computer engineer					inyaltar re-whar-achta		
NYT	8	DISCUSSING JOBS		WORD	JOB	ríomhchláraitheoir	programmer					reo-clar-e-har		
NYT	8	DISCUSSING JOBS		WORD	JOB	aisteoir	actor					asteor		
NYT	8	DISCUSSING JOBS		WORD	JOB	múinteoir bunscoile	primary school teacher					asteor		
NYT	8	DISCUSSING JOBS		WORD	JOB	múinteoir meánscoile	secondary school teacher					asteor		
NYT	8	DISCUSSING JOBS		WORD		garraí	garden					gary		
NYT	8	DISCUSSING JOBS		TEMPLATE		Is $JOB mé.	I'm a $JOB	Repeat for other pronouns é/í and person's name						
NYT	8	DISCUSSING JOBS		TEMPLATE		$JOB atá ionam	I'm a $JOB					.. atá unam		
NYT	8	DISCUSSING JOBS		QUESTION		Cad é an post atá agat?	What job do you do?				Where are you working?			
NYT	8	DISCUSSING JOBS		QUESTION		Cad é an tslí bheatha atá agat?	What do you do for a living?					cadj ay an tshlee veha ataa agat		
NYT	8	DISCUSSING JOBS		QUESTION		Cad é an post atá ag Michael?	What job does Michael have?							
NYT	8	DISCUSSING JOBS		QUESTION		Cá bhfuil tú ag obair?	Where do you work?							
NYT	8	DISCUSSING JOBS		QUESTION		Cá bhfuil tusa ag obair?	Where do *you* work?							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	i monarcha	in a factory							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	in oifig	in an office							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	in scoil	in a school							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	i siopa	in a shop							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	i mbunscoil	in a primary school							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	i meánscoil	in a secondary school							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	in otharlann	in a hospital							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	in óstán	in a hotel							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	i gcaife	in a cafe							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	i mbialann	in a restaurant							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	i ngaráiste	in a garage							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	in ollmhargadh	in a supermarket					ollwarragoo		
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	i dteach tábhairne	in a pub							
NYT	8	DISCUSSING JOBS		WORD	IN_WORKPLACE	i ngarraí	in a garden					in narry		
NYT	8	DISCUSSING JOBS		WORD		stáisiún peitril	petrol station					stashon petrol		
NYT	8	DISCUSSING JOBS		TEMPLATE		Tá mé ag obair $IN_WORKPLACE	I work $IN_WORKPLACE							
NYT	8	DISCUSSING JOBS		TEMPLATE		Bhí mé ag obair $IN_WORKPLACE	I worked $IN_WORKPLACE							
NYT	8	DISCUSSING JOBS		TEMPLATE		Tá mé ag obair $IN_WORKPLACE i mBeal Feirste	I work $IN_WORKPLACE in Belfast							
NYT	8	DISCUSSING JOBS		SENTENCE		tá mé neirbhíseach	i am nervous					taa may nervishoch		
NYT	8	DISCUSSING JOBS		WORD	SHOP_TYPE	siopa bróg	shoe shop							
NYT	8	DISCUSSING JOBS		WORD	SHOP_TYPE	siopa leabhar	bookshop					ta shopa loar agam		
NYT	8	DISCUSSING JOBS		WORD	SHOP_TYPE	bácús	bakery							
NYT	8	DISCUSSING JOBS		WORD	SHOP_TYPE	teach lóistín	guesthouse					...lostcheen...		
NYT	8	DISCUSSING JOBS		TEMPLATE		Tá $SHOP_TYPE agam.	I have a $SHOP_TYPE.							
NYT	8	DISCUSSING JOBS		QUESTION		An maith leat do phost?	Do you like your job?							
NYT	8	DISCUSSING JOBS		QUESTION		An maith leat do chuid oibre?	Do you like your work?							
NYT	8	DISCUSSING JOBS		SENTENCE		Níl mé ag obair ...	I'm not working...							
NYT	8	DISCUSSING JOBS		SENTENCE		Tá mé dífhostaithe...	I'm unemployed...					..djee-ost-aha		
NYT	8	DISCUSSING JOBS		WORD		... faoi láthair.	... at the moment (literal: present).					..fee laher		
NYT	8	DISCUSSING JOBS		SENTENCE		Tá mé éirithe as	I'm retired					...airy-a ass		
NYT	8	DISCUSSING JOBS		QUESTION		Cad é an post a bhí agat?	What job did you have?							
NYT	8	DISCUSSING JOBS		TEMPLATE		$JOB a bhí ionam	I was a $JOB							
NYT	8	DISCUSSING JOBS		SENTENCE		Ba mhúinteoir mé.	I was a teacher.							
NYT	8	DISCUSSING JOBS		SENTENCE		Ba mheicneoir mé.	I was a mechanic							
NYT	8	DISCUSSING JOBS		SENTENCE		Ba dhochtúir mé.	I was a doctor					ba gochter ma		
NYT	8	DISCUSSING JOBS		SENTENCE		Ba banaltra mé.	I was a nurse					ba gochter ma		
NYT	8	DISCUSSING JOBS		SENTENCE		B'oibrí monarchan mé.	I was a factory worker							
NYT	8	DISCUSSING JOBS		SENTENCE		B'fheirmeoir mé.	I was a farmer							
NYT	8	DISCUSSING JOBS		QUESTION		An $JOB tú?	Are you a $JOB?							
NYT	8	DISCUSSING JOBS		SENTENCE		Is ea.	Yes (I am).					sha?? or ish-aa??		
NYT	8	DISCUSSING JOBS		SENTENCE		Ní hea.	No (I'm not).					nee ha		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		AG TABHAIRT ORDUITHE AGUS TREORACHA	GIVING ORDERS AND INSTRUCTIONS					ag torch ord-iha agus troar-aha		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Tar isteach.	Come in		s					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Tagaigí isteach.	Come in		p					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Taraigí isteach.	Come in		p					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		síos	down		s			shees		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Suigh síos.	sit down		s			see shees		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Suígí síos.	sit down		p			see-gee shees		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Coimhéad!	Look out! or Be careful!		s			cuv-ahd		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Coimhéadaigí!	Look out! or Be careful!		p			cuv-ahd-igi		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Coimhéad an leoraí	mind the lorry							
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Coimhéad an phéint!	Mind the paint!					cuv-ahd an faint		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Fan bomaite.	Wait a minute.		s					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Fanaigí bomaite.	Wait a minute.		p					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Stad!	Stop!		s					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Stadaigí!	Stop!		p					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Ná déan sin.	Don't do that.		s			na jen sin		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Ná déanaigí sin.	Don't do that.		p			na jenigi sin		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Ná déan seo.	Don't do this.					na jen shaw		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Ciúnas!	Quiet!/Silence		s			cuoonyis		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Ciúnigí!	Quiet!/Silence		p			cuoonigee		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Bí ciúin!	Be quiet!		s			be cue-in		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Bígí ciúin!	Be quiet!		p			bigee cue-in		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Bí suaimhneach!	Be quiet!		s			be swinna		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Bígí suaimhneach!	Be quiet!		p			bigee swinna		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		le do thoil	please		s			le de hull		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		le bhur dtoil	please		p			le wer dul		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Fan socair!	Stay quiet!		s					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Fanaigí socair!	Stay quiet!		p					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Gabh amach!	Get out!		s			go amak (throaty k)		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Gabhaigí amach!	Get out!		p			gogi amak (throaty k)		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Imigh leat!	Away you go (in nice way).  Go away! (in strong voice)		s			immee lat		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Imigí libh!	Away you go (in nice way).  Go away! (in strong voice)		p					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Lean ort.	Carry on.		s			lan ort		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Leanaigí oraibh.	Carry on.		p			lanigi oriv		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Tar anseo.	Come here.		s					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Tagaigí anseo.	Come here.		p					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Taraigí anseo.	Come here.		p					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Goitse.	Come here.		s			gutcha		Goitse can also be used when you are leaving and when you want someone to come with you.
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Goitsigí	Come here		p			gutchigi		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Goitse.	Come on.					gutcha		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Druid an doras.	Shut the door.		s					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Druidigí an doras.	Shut the door.		p					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Oscail an fhuinneog.	Open the window.		s					In Donegal an f is placed before oscail in everyday speech but it is generally not written.
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Osclaígí an fhuinneog.	Open the window.		p					
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Gabh a luí.	Go to bed.		s			go a lee		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Gabhaigí a luí.	Go to bed.		p			go-gee a lee		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Gabh a chodladh.	Go to sleep.		s			go a haw-loo???		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Éirigh!	Get up!		s			ear-ee		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Éirígí!	Get up!		p			ear-igi		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Déan deifir!	Hurry up!		s			Jen jeffer or Jen jeffra		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Déanaigí deifir!	Hurry up!		p			Jenigy jeffer or Jenigy jeffra		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		ní thig liom	i can't					nee hig liom		
NYT	9	GIVING ORDERS AND INSTRUCTIONS		SENTENCE		Tá deifir orm	I am in a hurry							
